iter	MAE	RMSE
0	5.31202718	7.289039336
1	5.199056782	7.158366196
2	5.092097976	7.029350003
3	4.991242	6.911573104
4	4.891926495	6.79910129
5	4.806852974	6.703200332
6	4.721087123	6.600074628
7	4.640724212	6.509535041
8	4.571677036	6.429696011
9	4.496859244	6.345700967
10	4.430640985	6.267385326
11	4.372870881	6.201882853
12	4.313059411	6.132240833
13	4.260482044	6.074937699
14	4.208973025	6.015609437
15	4.158566221	5.961637689
16	4.113094979	5.91330958
17	4.072983266	5.869140051
18	4.034398943	5.823140249
19	3.994298119	5.781777165
20	3.963517586	5.752162016
21	3.938619488	5.726172629
22	3.914616477	5.696651631
23	3.888430846	5.668746814
24	3.862879194	5.638714568
25	3.832788452	5.602734221
26	3.805464894	5.57144733
27	3.78169929	5.54538344
28	3.758367215	5.517832853
29	3.75031506	5.509631279
30	3.73484658	5.494106108
31	3.715736731	5.474192298
32	3.700739423	5.457947692
33	3.68249231	5.436249795
34	3.661854132	5.413786087
35	3.641244927	5.39065317
36	3.621864396	5.367791252
37	3.610683031	5.357011817
38	3.588035496	5.3316699
39	3.577048937	5.318884211
40	3.559699542	5.298545692
41	3.544375652	5.281550051
42	3.530172249	5.264224399
43	3.520753901	5.255561954
44	3.507248213	5.240885251
45	3.497917958	5.230480433
46	3.485398319	5.213984774
47	3.478360107	5.205867918
48	3.469472678	5.195223942
49	3.458237587	5.183257196
50	3.449276632	5.170738016
51	3.431979292	5.151057145
52	3.426003363	5.14518005
53	3.41299808	5.130631226
54	3.403768758	5.119841483
55	3.392284392	5.107917116
56	3.385877236	5.101815896
57	3.379940921	5.095451581
58	3.371006845	5.084393271
59	3.362916241	5.075502925
60	3.353587385	5.06362912
61	3.340485618	5.049740051
62	3.331202941	5.039231471
63	3.319235744	5.02690179
64	3.313857061	5.021372345
65	3.303071067	5.008529651
66	3.296817843	5.000650614
67	3.295631804	4.999823176
68	3.291364285	4.995902408
69	3.287519859	4.991419315
70	3.279713112	4.980143425
71	3.270118159	4.967147243
72	3.263494664	4.960394794
73	3.258525187	4.953327592
74	3.249412105	4.940916018
75	3.247887162	4.938138368
76	3.243079975	4.932835408
77	3.234987815	4.92248826
78	3.231549519	4.919677329
79	3.227932569	4.91405436
80	3.223177276	4.907548386
81	3.222791143	4.90712653
82	3.215784173	4.899491915
83	3.212781216	4.895052703
84	3.208371285	4.890273811
85	3.206119205	4.886803677
86	3.201521885	4.880387775
87	3.199733693	4.876995288
88	3.191539417	4.867323349
89	3.179641491	4.853419474
90	3.173337557	4.846086307
91	3.168387872	4.840369135
92	3.16562679	4.837284692
93	3.161573695	4.832839652
94	3.154883866	4.825439151
95	3.148840448	4.818463448
96	3.147515629	4.818039316
97	3.14607644	4.816083112
98	3.13962396	4.808076518
99	3.136611346	4.804831988
100	3.133547132	4.800349993
101	3.130514736	4.79679849
102	3.128218278	4.793685102
103	3.123033587	4.788128252
104	3.118408967	4.782234148
105	3.114450288	4.77771179
106	3.110279785	4.771370912
107	3.109280959	4.770140076
108	3.109276977	4.77013971
