iter	Passed	Remaining
0	62	31001
1	71	17706
2	78	13032
3	87	10801
4	93	9276
5	98	8139
6	105	7449
7	111	6871
8	117	6420
9	123	6060
10	130	5796
11	135	5528
12	141	5318
13	148	5171
14	155	5041
15	161	4894
16	168	4774
17	174	4668
18	180	4576
19	187	4502
20	193	4420
21	201	4367
22	219	4556
23	236	4688
24	249	4744
25	261	4767
26	270	4730
27	277	4673
28	285	4633
29	288	4514
30	297	4494
31	305	4465
32	311	4407
33	317	4357
34	326	4337
35	333	4297
36	340	4256
37	345	4202
38	357	4220
39	364	4187
40	370	4145
41	377	4120
42	384	4086
43	392	4063
44	400	4048
45	406	4016
46	413	3981
47	419	3951
48	429	3951
49	435	3920
50	442	3897
51	451	3887
52	463	3908
53	487	4025
54	503	4072
55	518	4113
56	535	4159
57	549	4185
58	566	4231
59	572	4201
60	579	4172
61	585	4139
62	591	4103
63	597	4072
64	605	4053
65	611	4023
66	619	4002
67	621	3951
68	629	3931
69	635	3901
70	645	3898
71	650	3869
72	656	3841
73	662	3812
74	668	3789
75	674	3764
76	680	3738
77	686	3713
78	694	3698
79	699	3674
80	706	3653
81	708	3612
82	714	3589
83	719	3561
84	725	3541
85	731	3521
86	738	3505
87	743	3479
88	749	3462
89	756	3446
90	762	3429
91	773	3429
92	783	3429
93	799	3454
94	807	3443
95	817	3438
96	820	3410
97	830	3407
98	840	3406
99	853	3414
100	860	3398
101	866	3381
102	871	3358
103	877	3341
104	883	3324
105	895	3327
106	902	3315
107	908	3296
108	909	3262
109	915	3244
110	921	3229
111	927	3213
112	933	3198
113	935	3168
114	937	3137
115	942	3121
116	951	3116
117	962	3116
118	968	3100
119	974	3085
120	981	3075
121	990	3067
122	995	3051
123	1001	3036
124	1015	3047
125	1033	3068
126	1048	3079
127	1064	3094
128	1077	3099
129	1091	3105
130	1106	3118
131	1117	3115
132	1133	3128
133	1143	3122
134	1147	3103
135	1154	3089
136	1160	3075
137	1171	3071
138	1178	3061
139	1182	3040
140	1188	3024
141	1195	3013
142	1202	3001
143	1208	2988
144	1220	2988
145	1233	2991
146	1249	2999
147	1250	2975
148	1267	2985
149	1284	2996
